id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
49503,0.001452722042524019,4.79014270310002e-05,3.820646606820978e-07,6.4094979184401815e-06,7.591548224291478e-09,0.9711160961455344,0.0012124998365218092,0.025817359575023197,0.00034662181923800293
49504,2.1510239983169337e-06,2.992454065843037e-08,3.4331621592165693e-11,5.146984121737771e-13,9.278130983239652e-17,0.010809826295783366,1.5657454252759284e-10,0.9891840075751143,3.984989142413803e-06
49505,0.00848169398487984,7.621424466639794e-05,2.587716188153621e-06,7.194629598548417e-06,2.1499854456993238e-08,0.014337192086167029,0.00017478563022778448,0.9756802179220467,0.0012400922863712227
49506,8.733037052488646e-14,8.553167589442736e-15,5.442041564264662e-18,3.4952699843080097e-19,8.331588678560347e-18,9.089873864340564e-11,5.532034592938327e-12,0.9999999999032751,1.9817128668439415e-13
49507,1.3521804901431459e-05,0.8663955360696051,0.12405671145578372,0.003620031530778943,0.004490655913292386,3.032810376313037e-05,0.0011438814776934929,0.00017678729893296337,7.254634524900332e-05
49508,0.0025418637898753796,0.04859664664409239,0.6006719402339957,7.908536420940487e-05,1.1969287064230358e-05,1.6140712895653034e-05,0.34245423174136624,0.005616179981189045,1.1942245311941047e-05
49509,3.4238888050582885e-26,1.653638216043051e-21,1.5232563917852017e-23,3.934740497896327e-17,4.866399111733992e-22,0.9999999999999978,2.054538013029536e-15,1.720019946379565e-16,1.7524094874731587e-26
49510,2.187039495596549e-05,0.27760776356380124,0.4907482307714883,0.2307679465127128,4.8064669973103735e-05,1.2748770474238126e-06,0.0006484219203603598,0.00013222644014767654,2.420084951326152e-05
49511,1.569510780417774e-13,2.7124274090277948e-12,1.0039929218492518e-13,1.8602787702726916e-10,1.3145866544009408e-12,0.9999999850616126,1.4239232432319226e-08,5.087296755294944e-10,1.131127225304257e-13
49512,0.0011308766209564758,6.714869905045177e-06,1.1358692268725828e-06,3.7829392946570776e-05,3.0324025494705126e-06,0.9950641985635289,0.002869472185636212,0.0005432037368909647,0.00034353635835924096
49513,4.732683542130997e-06,0.21994725771754284,0.030797158155616348,0.7485270747036052,0.00019660444809019992,9.418362522279686e-06,0.0005120912099743495,1.8563514810861187e-06,3.8063676255434863e-06
49514,1.095210969118218e-09,5.7380467134754804e-08,9.390796236466073e-09,2.944927516528374e-12,3.3772248288838167e-13,8.477008580235602e-08,1.2591435582028489e-08,0.9999998115663129,2.3202408620517506e-08
49515,0.00033101002915324077,0.001963358875685967,1.175319127410806e-06,0.03099087264877983,0.9529698988592734,0.00019101884828157055,0.0002698309775069007,0.0003032726353441786,0.012979561806847456
49516,3.884862493863946e-06,0.9750750788521572,0.024104592164425603,0.0006731460570960074,3.2260030991756077e-05,3.423662113145899e-07,8.539660135767924e-05,2.4147930584543026e-05,1.151134681945848e-06
49517,0.0003770822075313368,2.4358558386321546e-06,4.416651437801268e-09,2.180946580845696e-05,6.1229009485469e-11,0.9971599314571179,0.0004879813036956707,0.001881690238408215,6.906499371921991e-05
49518,0.5637720860491527,1.6290547994812083e-05,2.6577759809761383e-07,3.4276445791231325e-07,3.1515765506755993e-06,0.005033541587499668,0.008157656381074562,0.41188597122281956,0.011130694092852049
49519,2.4537503385630035e-06,1.4562192639315187e-08,1.4873731305047344e-11,6.898677053182807e-11,6.4362309636323304e-15,0.9940961281229085,5.37612098525687e-06,0.005896019302465348,8.057243001917144e-09
49520,2.1633182661109088e-15,8.021882916845455e-19,2.149713905524638e-21,1.929014167342698e-16,3.228269776897904e-18,0.9999999999874125,1.7512019260364445e-12,1.0829932612126419e-11,3.9516461319947856e-15
49521,0.006739578379190991,0.7478256918810787,0.043608533262160874,0.009100279706182818,0.15108315573824505,0.0009712624101139004,0.01571443756945956,0.002586067529342455,0.022370993524225474
49522,1.2668094333134308e-32,4.8508070007655277e-29,1.3131275485685373e-32,1.2295516841218037e-23,5.122634247707446e-30,1.0,1.1942125110792556e-22,1.3912570502511439e-21,5.7926513151683165e-31
49523,0.0014944724979055587,0.4924691338960531,0.38276879292539645,0.0011875711994381176,0.004671779439289873,0.014237424666301103,0.09610377892854635,0.004869023824491497,0.0021980226225778473
49524,0.8251444594882956,0.00011393136395009463,4.901067266356799e-06,2.862665400128391e-06,9.951561338935141e-05,0.04079744035419765,0.04203532225302845,0.02854538151321991,0.06325618568125248
49525,4.060439692712637e-05,0.07612665315963305,0.00011602118137085556,0.022178402602126886,0.8968155883800306,1.8477910529111625e-05,0.0017177627875713142,0.002740152326825335,0.00024633725498595825
49526,8.648899288965112e-12,0.46055518946240076,0.007877887784551016,0.5315657085779941,1.270248020661541e-07,2.6163554250993173e-10,2.6979616861004984e-10,5.420581749499506e-09,1.0811895897826264e-06
49527,0.4400580724558818,6.736383268192939e-22,3.3488238617225675e-31,1.7847829361666888e-41,1.6085984715912087e-33,6.454296961389106e-15,1.1669851353273987e-25,0.559937095307276,4.83223683579181e-06
49528,4.0450205470258947e-07,0.6019217551786101,0.17134099633109767,0.22669507312927178,2.1124007577181097e-05,6.624417749189223e-08,8.90037531394992e-06,3.1779765097357147e-06,8.502255387304153e-06
49529,0.015175283394837015,7.092548506712835e-05,1.3993014693600614e-06,0.007598248362962518,1.666444823398639e-08,0.9460209216709565,0.014316118534415055,0.015732872675498936,0.0010842139103451837
49530,3.4066663094931365e-07,6.4314804362257545e-09,9.17936396657869e-12,3.1317357919229826e-09,6.001139614421424e-13,0.9978801454343955,0.0021159809021102922,3.5233635736383654e-06,6.029399217235194e-11
49531,5.4306725664065235e-06,1.4581303771132272e-06,2.1595682260970842e-07,0.00014585293042054857,0.0002818250281173527,0.9961263573001448,0.0009109857789348587,0.00122743722589432,0.001300436976722157
49532,8.156349736086314e-08,0.7815026004553594,0.21762130867622134,0.000821020869298804,3.9648822082974235e-05,6.463578219404446e-08,7.108666634167239e-06,4.883154686689761e-06,3.2831564373539742e-06
49533,0.00035215092669182676,0.0002567167013590217,1.4370404349841824e-05,0.0005973644294827176,0.005031506651787278,0.8697720895828269,0.0009215905838515024,0.008087342866941547,0.11496686785270932
49534,3.718011010327729e-24,1.390691816359873e-20,1.2007348783736524e-21,5.9974610018782305e-15,4.188657069655613e-20,0.9999999999998399,2.4617059114268666e-14,1.2946529348280702e-13,4.772229011036865e-21
49535,1.485632432262292e-07,9.504061814246085e-06,3.7669915852596393e-06,1.7759018480629172e-08,4.369019775085877e-10,4.50251460887989e-05,3.555514682375822e-07,0.9999382255275661,2.955962313676429e-06
49536,1.216611194015512e-11,1.4554875430295668e-10,1.4194024215332256e-11,2.0723672584297454e-08,6.667978959347152e-11,0.999998100670708,1.86391271717466e-06,1.4452597216545769e-08,1.7161449854401452e-12
49537,0.0005917621859281053,0.0020868430339263996,0.0005979258939910427,3.883482770967431e-06,6.911330428645259e-05,0.0005899492587364233,0.0118930576444588,0.9817926434645476,0.0023748217313544605
49538,8.589942633841228e-06,1.1562029461561286e-10,1.042989778693455e-13,6.394079796793461e-11,2.157970196208421e-11,0.0006041372121175052,9.331783530707611e-07,0.9993861960315409,1.4343410966927245e-07
49539,2.0773226668152428e-10,0.00010997091139757874,0.00033839475299627455,3.1553271008947757e-06,2.7156032459452572e-09,0.0015728925292666106,0.9979755811823398,2.3734611390736064e-09,1.0237732122489533e-13
49540,0.00027423025781468804,8.465856204235413e-06,1.7245978798017654e-07,0.0022172807650441707,4.27436008195583e-09,0.9956447868443363,5.173828921426512e-05,0.0006508009286630785,0.00115252032457521
49541,0.00011616354947785478,1.4492122063671178e-09,4.4947858300529575e-13,6.320340822115462e-08,2.6411404169752657e-11,0.992869274354267,1.1052145429787725e-06,0.00027745334139984507,0.00673593886083078
49542,1.0978291946169698e-09,0.007064021681219072,1.3208308719110499e-09,0.0013397416133441135,0.9915954791381383,2.2122718355918693e-08,3.995739702875874e-08,1.666895221761509e-07,5.263790012508419e-07
49543,0.0005619973607484806,0.46119149446255175,0.5146272942495599,0.000457646448836389,6.972445002400407e-06,6.898379140764666e-05,0.021691177852088298,0.0013861195549257584,8.313834879303742e-06
49544,8.378528308836833e-06,3.095429385383292e-08,7.94913050920282e-11,1.2405336450999355e-11,1.803218571778052e-15,0.09209881355932352,2.2055098637151093e-08,0.9078895722678154,3.182543261513525e-06
49545,0.1390565972826409,5.655435206655439e-10,1.4830345718132076e-16,1.7520975720186257e-23,1.1943458501015462e-17,2.9603436833774795e-05,7.613330202082388e-05,0.8608376572055556,8.207405111187858e-09
49546,2.1104038480879853e-10,0.9991705107349105,0.000808537138413028,2.0698471322811143e-05,2.0096518124195691e-07,1.4390435969180383e-09,6.670978274317118e-09,3.419838344868318e-08,1.0170726907833408e-08
49547,0.30967578089875347,0.000514433028477494,3.0112369939600362e-05,0.30617918728911886,1.1198890072593722e-06,0.0781234169268235,0.30540351064190885,7.206406826840747e-05,3.748877025790631e-07
49548,0.04829338917987189,5.142517126222399e-06,5.274004557010867e-08,6.719029032072913e-06,8.198058527230254e-07,0.9144480218417957,0.02088172930634059,0.0055213969381576,0.01084272864177771
49549,0.00045517604096195085,0.34941821087080444,0.4627954515358431,0.01169895607804506,0.0010230123630487703,0.0035325328064261777,0.17069309178263323,0.0003558347419864672,2.773378025085275e-05
49550,2.6115562286031965e-06,0.9715489167803154,0.027689191603987102,0.0006335430962095094,1.8777792532610793e-05,2.1034969834014222e-07,9.33022449025263e-05,1.2972176883268861e-05,4.743992426084308e-07
49551,0.0036516813293365254,0.00018476899271128023,0.00048634120420622593,1.0151542434909027e-05,5.630636806301458e-06,0.01325022726760083,0.9823817651807647,2.6734483490111806e-05,2.699362648872379e-06
49552,0.0447928745342193,9.918679102629285e-06,7.797401142376118e-08,1.5125228771538292e-09,4.371941218735972e-07,0.00010927460066486016,0.0010522521953280223,0.9539162054181634,0.00011895789186575835
